,FEAT_A_probe,FEAT_Delta_t_angl[s],FEAT_Delta_t_anw[s],FEAT_F_angl[N],FEAT_F_anw[N],FEAT_T_Heiz[°C],FEAT_Thermocouple_0[°C],FEAT_WS0[µV],FEAT_WS_Int[µVs],FEAT_WS_angl[µV],FEAT_WS_anw[µV],FEAT_WS_delta_t_max[s],FEAT_WS_max[µV],FEAT_s0[mm],FEAT_s_angl[mm],FEAT_s_tot[mm],FEAT_t_angl[s],FEAT_t_anw[s],LABEL_weld_factor
25,405.8971,7.000000921450555,18.20000086445361,55.41665207513488,18.44010415369151,190,195.7877655029297,499.2629699707031,74881.0086794769,1049.78173828125,711.2032470703125,0.800000037997961,3456.0380859375,23.43867301940918,16.14997291564941,16.21271896362305,20.20000095944852,147.0000069821253,1.0
26,405.0552,7.400001044943929,18.60000088345259,54.9358352349729,18.37899670053701,190,195.1239166259766,477.8243408203125,76039.95480622938,1052.007690429688,695.0621337890625,0.800000037997961,3496.450439453125,24.13813209533691,16.38798713684082,16.48299980163574,19.60000093095005,146.4000069536269,1.0
27,400.6858,6.800001035444438,16.00000075995922,55.34743576049804,18.33795734129387,190,195.5635528564453,504.9423217773438,69449.43983467112,1018.340454101562,705.5473022460938,0.6000000284984708,3020.609130859375,22.03067970275879,16.53557395935059,16.6176872253418,20.00000094994903,149.2000070866197,1.0
28,405.0144,5.200000854954123,17.80000084545464,55.58514955308702,17.76258047303157,190,195.46875,490.2374267578125,75262.33890904498,1060.044067382812,703.7987670898438,0.800000037997961,3504.984619140625,23.06617546081543,16.55933570861816,16.64956855773926,21.60000102594495,147.4000070011243,1.0
29,405.2676,8.000001263432203,18.60000088345259,54.88870314757029,18.10553944224837,210,217.6097564697266,669.8182983398438,66667.15333160298,1263.077880859375,871.7782592773438,0.800000037997961,3943.6884765625,24.68843650817871,16.47959136962891,16.52158164978027,19.20000091195107,104.6000049682334,1.0
30,401.228,8.000001016445458,19.40000092145056,54.08894485473633,15.98191708360793,210,215.4656219482422,623.8182983398438,67783.52536278871,1187.499877929688,847.9908447265625,0.800000037997961,4119.84423828125,24.27771186828613,16.5599308013916,16.62043762207031,20.00000094994903,103.8000049302354,1.0
31,402.2763,6.200000902451574,19.80000094044954,53.85715536469394,16.02840238567478,210,215.2273254394531,616.095703125,66472.55142162657,1194.791137695312,842.0977783203125,0.6000000284984708,3850.446044921875,22.28026962280273,16.47384643554688,16.54596328735352,20.6000009784475,103.4000049112365,1.0
32,398.0772,7.000000997446477,18.60000088345259,54.90288963317871,17.10915116917335,210,215.4769439697266,608.0833740234375,68102.14705639875,1171.70751953125,839.100830078125,0.800000037997961,4030.771728515625,23.81684112548828,16.41084098815918,16.45923042297363,20.00000094994903,104.6000049682334,1.0
33,401.0055,7.200001044943928,18.20000086445362,55.42802564062254,17.69060314723423,210,214.8993988037109,584.8626708984375,68519.34341952953,1189.359619140625,828.13427734375,0.800000037997961,3612.423828125,24.34565734863281,16.42138862609863,16.47784042358398,19.80000094044954,105.0000049872324,1.0
34,396.6012,3.000000759959221,19.40000092145056,56.37979792747177,17.71185123373609,210,216.9202880859375,616.7638549804688,71431.12639453344,1182.656616210938,823.1846313476562,0.800000037997961,3697.4150390625,25.74561882019043,16.72218132019043,16.78185272216797,23.80000113043934,130.8000062126666,1.0
